symptom,possible_conditions,advice
fever,Sepsis; Peptic ulcer disease; Parasitic infection,"Possible causes include: Sepsis, Peptic ulcer disease, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever,Hyperventilation syndrome; Rheumatoid arthritis; Seizure disorder (epilepsy),"Possible causes include: Hyperventilation syndrome, Rheumatoid arthritis, Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever,Cluster headache; Appendicitis; Hyperventilation syndrome,"Possible causes include: Cluster headache, Appendicitis, Hyperventilation syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills,Gastritis; Iron deficiency anemia; Hyperventilation syndrome,"Possible causes include: Gastritis, Iron deficiency anemia, Hyperventilation syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors,Endometriosis; Angina; Cellulitis,"Possible causes include: Endometriosis, Angina, Cellulitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats,Anaphylaxis; Allergic reaction; Parasitic infection,"Possible causes include: Anaphylaxis, Allergic reaction, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fatigue,Angina; Tension headache; Stroke,"Possible causes include: Angina, Tension headache, Stroke. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
weakness,Retinal detachment; Malaria; Parasitic infection,"Possible causes include: Retinal detachment, Malaria, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
malaise,Herpes zoster (shingles); Pancreatitis; Bursitis,"Possible causes include: Herpes zoster (shingles), Pancreatitis, Bursitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
loss of appetite,Encephalitis; Fracture; Endometriosis,"Possible causes include: Encephalitis, Fracture, Endometriosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
weight loss,Pulmonary embolism; Cluster headache; Anxiety disorder,"Possible causes include: Pulmonary embolism, Cluster headache, Anxiety disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
unexplained weight gain,Cellulitis; Rheumatoid arthritis; Laryngitis,"Possible causes include: Cellulitis, Rheumatoid arthritis, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
headache,Viral infection; Meniere's disease; Laryngitis,"Possible causes include: Viral infection, Meniere's disease, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
throbbing headache,Urinary tract infection (UTI); Fracture; Anaphylaxis,"Possible causes include: Urinary tract infection (UTI), Fracture, Anaphylaxis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
migraine-like headache,Food poisoning; Rheumatoid arthritis; Inflammatory bowel disease (IBD),"Possible causes include: Food poisoning, Rheumatoid arthritis, Inflammatory bowel disease (IBD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
tension-type headache,Tension headache; Meniere's disease; Food poisoning,"Possible causes include: Tension headache, Meniere's disease, Food poisoning. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
sudden severe headache,Gastritis; Angina; Diabetes (hyperglycemia),"Possible causes include: Gastritis, Angina, Diabetes (hyperglycemia). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
dizziness,Gastroesophageal reflux disease (GERD); Anemia; Dehydration,"Possible causes include: Gastroesophageal reflux disease (GERD), Anemia, Dehydration. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
vertigo,Malaria; Multiple sclerosis; Laryngitis,"Possible causes include: Malaria, Multiple sclerosis, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
lightheadedness,Asthma; Peripheral arterial disease; Insomnia disorder,"Possible causes include: Asthma, Peripheral arterial disease, Insomnia disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
fainting,PID (pelvic inflammatory disease); Gallstones; Diabetes (hyperglycemia),"Possible causes include: PID (pelvic inflammatory disease), Gallstones, Diabetes (hyperglycemia). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
syncope,Heart attack (myocardial infarction); Eczema herpeticum; Gout,"Possible causes include: Heart attack (myocardial infarction), Eczema herpeticum, Gout. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
visual disturbance,COVID-19; HIV-related infection; Typhoid fever,"Possible causes include: COVID-19, HIV-related infection, Typhoid fever. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
blurred vision,Hypothyroidism; Rabies (rare); Liver disease (hepatitis),"Possible causes include: Hypothyroidism, Rabies (rare), Liver disease (hepatitis). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
double vision,Tendonitis; Bronchitis; Asthma,"Possible causes include: Tendonitis, Bronchitis, Asthma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
eye pain,Autoimmune disease; Stroke; Earwax impaction,"Possible causes include: Autoimmune disease, Stroke, Earwax impaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
red eye,Gout; Heart attack (myocardial infarction); Stroke,"Possible causes include: Gout, Heart attack (myocardial infarction), Stroke. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
